sub_region_2,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,13/04/2021,-24,10,12,-31,-17,9
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,13/04/2021,-30,-12,50,-28,-22,7
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,13/04/2021,-37,16,,-36,-11,8
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,14/04/2021,-35,2,4,-40,-24,11
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,14/04/2021,-32,3,21,-21,-17,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,14/04/2021,-23,1,-10,-33,-14,8
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,14/04/2021,-30,-2,24,-21,-20,9
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,14/04/2021,-39,3,-6,-31,-22,11
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,14/04/2021,-28,14,12,-28,-15,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,14/04/2021,-32,-10,40,-27,-23,7
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,14/04/2021,-38,13,,-36,-12,8
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,15/04/2021,-39,0,-29,-42,-24,12
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,15/04/2021,-32,3,11,-26,-16,8
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,15/04/2021,-29,3,-19,-31,-17,10
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,15/04/2021,-33,7,2,-23,-22,10
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,15/04/2021,-43,3,-27,-40,-21,13
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,15/04/2021,-31,14,-23,-32,-14,10
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,15/04/2021,-32,-7,9,-30,-23,9
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,15/04/2021,-40,10,29,-39,-14,9
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,16/04/2021,-39,4,-16,-41,-24,13
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,16/04/2021,-35,3,-9,-27,-16,10
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,16/04/2021,-27,9,-16,-36,-14,10
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,16/04/2021,-35,7,13,-20,-21,11
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,16/04/2021,-46,5,-34,-36,-21,14
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,16/04/2021,-34,15,3,-28,-15,10
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,16/04/2021,-34,-9,21,-33,-21,9
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,16/04/2021,-42,16,43,-37,-11,10
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,17/04/2021,-39,0,8,-35,-16,9
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,17/04/2021,-44,-5,35,-24,-15,9
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,17/04/2021,-31,-4,-6,-34,-11,8
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,17/04/2021,-40,-8,46,-17,-15,9
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,17/04/2021,-43,3,-2,-30,-23,11
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,17/04/2021,-44,6,12,-53,-11,9
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,17/04/2021,-39,-15,25,-40,-22,9
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,17/04/2021,-46,18,43,-39,-11,9
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,18/04/2021,-55,-25,-15,-41,-17,9
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,18/04/2021,-58,-30,16,-41,-21,9
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,18/04/2021,-47,-19,12,-43,-14,9
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,18/04/2021,-58,-31,-7,-27,-21,11
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,18/04/2021,-56,-24,-12,-29,-19,11
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,18/04/2021,-59,-14,-28,-67,-17,10
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,18/04/2021,-58,-34,-15,-48,-28,10
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,18/04/2021,-62,-10,4,-52,-17,10
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,19/04/2021,-33,1,21,-37,-24,9
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,19/04/2021,-33,-2,33,-18,-16,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,19/04/2021,-22,-1,20,-23,-14,8
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,19/04/2021,-27,6,33,-15,-19,8
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,19/04/2021,-29,5,27,-19,-16,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,19/04/2021,-26,12,14,-25,-16,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,19/04/2021,-29,-11,53,-29,-20,7
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,19/04/2021,-36,10,,-33,-10,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,20/04/2021,-31,4,34,-36,-24,9
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,20/04/2021,-28,2,37,-18,-16,6
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,20/04/2021,-21,3,24,-22,-11,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,20/04/2021,-26,0,41,-14,-19,8
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,20/04/2021,-27,10,23,-19,-15,6
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,20/04/2021,-22,13,30,-26,-14,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,20/04/2021,-27,-8,82,-21,-20,6
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,20/04/2021,-36,19,,-32,-9,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,21/04/2021,-36,0,-15,-42,-23,11
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,21/04/2021,-32,4,27,-17,-15,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,21/04/2021,-23,1,-4,-31,-13,8
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,21/04/2021,-31,-1,16,-22,-19,9
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,21/04/2021,-30,8,-3,-22,-16,8
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,21/04/2021,-26,15,6,-26,-13,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,21/04/2021,-32,-10,31,-25,-22,8
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,21/04/2021,-37,11,46,-33,-9,8
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,22/04/2021,-31,5,32,-36,-22,9
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,22/04/2021,-31,1,45,-16,-14,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,22/04/2021,-25,2,16,-26,-12,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,22/04/2021,-29,9,45,-13,-20,8
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,22/04/2021,-28,8,27,-19,-13,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,22/04/2021,-26,13,25,-27,-12,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,22/04/2021,-30,-6,44,-19,-20,7
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,22/04/2021,-35,12,,-30,-11,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,23/04/2021,-33,8,40,-36,-23,10
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,23/04/2021,-32,4,26,-15,-14,8
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,23/04/2021,-23,9,24,-27,-12,8
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,23/04/2021,-33,9,47,-13,-21,10
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,23/04/2021,-31,11,26,-16,-14,8
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,23/04/2021,-31,15,29,-27,-13,9
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,23/04/2021,-31,-7,48,-25,-21,8
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,23/04/2021,-39,17,70,-32,-8,9
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,24/04/2021,-37,1,27,-36,-14,7
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,24/04/2021,-43,-3,53,-19,-15,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,24/04/2021,-28,-1,4,-31,-9,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,24/04/2021,-39,-4,73,-19,-16,8
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,24/04/2021,-38,6,32,-17,-17,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,24/04/2021,-42,8,29,-48,-10,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,24/04/2021,-36,-10,38,-33,-20,8
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,24/04/2021,-44,18,54,-35,-7,8
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,25/04/2021,-49,-23,25,-35,-14,6
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,25/04/2021,-56,-28,51,-32,-17,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,25/04/2021,-42,-18,45,-32,-12,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,25/04/2021,-49,-28,53,-9,-20,8
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,25/04/2021,-51,-20,16,-18,-19,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,25/04/2021,-54,-15,3,-60,-15,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,25/04/2021,-51,-32,20,-27,-24,7
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,25/04/2021,-56,-6,48,-39,-14,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,26/04/2021,-31,-1,-24,-40,-23,10
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,26/04/2021,-26,0,10,-12,-14,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,26/04/2021,-16,4,1,-25,-12,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,26/04/2021,-20,11,24,-16,-19,7
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,26/04/2021,-32,6,0,-20,-14,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,26/04/2021,-16,14,1,-17,-14,7
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,26/04/2021,-21,-8,31,-25,-19,6
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,26/04/2021,-33,10,19,-33,-8,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,27/04/2021,-27,4,-7,-37,-22,9
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,27/04/2021,-22,6,9,-12,-14,6
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,27/04/2021,-15,4,5,-23,-9,6
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,27/04/2021,-21,4,11,-21,-18,8
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,27/04/2021,-28,13,-3,-19,-13,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,27/04/2021,-12,15,11,-18,-13,7
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,27/04/2021,-21,-8,55,-20,-19,6
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,27/04/2021,-31,20,,-31,-7,6
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,28/04/2021,-28,2,-16,-38,-22,10
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,28/04/2021,-24,4,16,-6,-14,6
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,28/04/2021,-15,4,-3,-25,-10,6
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,28/04/2021,-22,2,21,-22,-18,7
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,28/04/2021,-29,9,-2,-18,-13,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,28/04/2021,-14,17,18,-13,-12,6
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,28/04/2021,-21,-7,44,-17,-20,6
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,28/04/2021,-29,15,,-28,-6,6
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,29/04/2021,-29,5,-21,-38,-22,10
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,29/04/2021,-26,5,11,-11,-14,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,29/04/2021,-19,5,-8,-26,-12,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,29/04/2021,-27,9,-5,-22,-19,9
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,29/04/2021,-22,11,1,-21,-12,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,29/04/2021,-22,13,-24,-24,-12,9
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,29/04/2021,-27,-11,-18,-28,-21,8
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,29/04/2021,-32,13,21,-32,-10,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,30/04/2021,-26,23,2,-34,-23,9
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,30/04/2021,-23,21,17,-14,-14,6
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,30/04/2021,-13,28,13,-21,-10,6
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,30/04/2021,-26,26,27,-16,-20,9
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,30/04/2021,-21,31,16,-11,-13,6
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,30/04/2021,-22,35,4,-28,-13,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,30/04/2021,-24,2,19,-22,-20,8
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,30/04/2021,-32,36,45,-29,-7,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,01/05/2021,-61,-52,-46,-53,-50,14
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,01/05/2021,-55,-55,-2,-37,-49,14
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,01/05/2021,-46,-52,-32,-44,-43,13
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,01/05/2021,-65,-70,-5,-49,-50,16
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,01/05/2021,-50,-47,9,-33,-52,14
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,01/05/2021,-62,-51,-36,-54,-47,14
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,01/05/2021,-61,-56,-30,-45,-46,15
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,01/05/2021,-59,-56,-17,-50,-43,14
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,02/05/2021,-30,-5,24,-25,-11,2
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,02/05/2021,-37,-13,91,-17,-18,3
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,02/05/2021,-21,1,66,-17,-11,2
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,02/05/2021,-27,-4,81,-11,-15,4
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,02/05/2021,-25,-4,79,9,-13,1
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,02/05/2021,-27,11,74,-26,-13,4
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,02/05/2021,-21,-15,77,49,-17,4
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,02/05/2021,-39,14,70,-27,-9,4
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,03/05/2021,-19,13,29,-33,-22,6
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,03/05/2021,-18,8,43,4,-13,4
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,03/05/2021,-10,10,36,-24,-20,5
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,03/05/2021,-12,18,58,-9,-18,5
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,03/05/2021,-16,17,58,-11,-15,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,03/05/2021,-8,22,52,-7,-14,5
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,03/05/2021,-11,-3,100,-6,-17,4
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,03/05/2021,-24,22,,-28,-7,4
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,04/05/2021,-20,11,29,-31,-21,7
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,04/05/2021,-15,7,39,-1,-13,4
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,04/05/2021,-15,0,24,-27,-23,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,04/05/2021,-14,8,47,-10,-17,6
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,04/05/2021,-16,18,40,-9,-11,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,04/05/2021,-6,18,51,-15,-11,6
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,04/05/2021,-16,-6,95,-11,-18,4
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,04/05/2021,-25,25,,-25,-6,5
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,05/05/2021,-20,7,32,-33,-20,7
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,05/05/2021,-18,6,46,-1,-12,4
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,05/05/2021,-9,6,15,-19,-9,4
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,05/05/2021,-16,3,52,-14,-17,6
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,05/05/2021,-15,11,41,-10,-12,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,05/05/2021,-10,19,41,-10,-10,5
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,05/05/2021,-17,-4,67,-12,-19,4
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,05/05/2021,-25,16,,-27,-6,5
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,06/05/2021,-20,8,30,-31,-20,7
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,06/05/2021,-19,6,49,-4,-12,4
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,06/05/2021,-13,8,18,-19,-11,5
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,06/05/2021,-18,13,58,-9,-19,6
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,06/05/2021,-16,13,41,-14,-10,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,06/05/2021,-12,16,28,-16,-9,6
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,06/05/2021,-19,-3,34,-8,-19,5
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,06/05/2021,-24,16,,-25,-8,5
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,07/05/2021,-21,10,37,-30,-21,7
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,07/05/2021,-18,4,40,4,-12,4
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,07/05/2021,-11,12,29,-18,-8,4
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,07/05/2021,-19,13,78,-7,-18,7
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,07/05/2021,-15,15,50,-7,-11,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,07/05/2021,-13,20,67,-4,-11,5
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,07/05/2021,-15,-4,87,-9,-19,5
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,07/05/2021,-26,17,107,-28,-5,5
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,08/05/2021,-26,-1,24,-26,-14,3
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,08/05/2021,-29,-3,75,-8,-13,3
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,08/05/2021,-13,0,16,-17,-7,2
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,08/05/2021,-25,-4,122,-14,-15,4
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,08/05/2021,-20,7,74,-3,-15,3
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,08/05/2021,-23,9,88,-25,-9,4
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,08/05/2021,-12,-6,122,34,-16,3
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,08/05/2021,-30,18,96,-21,-7,3
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,09/05/2021,-35,-17,-2,-26,-8,1
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,09/05/2021,-31,-21,98,-12,-12,1
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,09/05/2021,-19,-12,57,-11,-10,1
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,09/05/2021,-27,-20,115,-2,-14,3
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,09/05/2021,-25,-12,53,1,-11,1
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,09/05/2021,-22,-4,71,-23,-9,2
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,09/05/2021,-12,-18,118,62,-13,2
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,09/05/2021,-33,-1,83,-16,-6,2
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,10/05/2021,-34,-6,-39,-40,-23,10
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,10/05/2021,-22,2,29,-6,-14,5
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,10/05/2021,-13,2,7,-22,-15,6
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,10/05/2021,-22,7,2,-21,-20,8
