sub_region_2,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,24/02/2020,2,19,70,-5,-19,4
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,24/02/2020,-2,27,,-29,-18,5
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,25/02/2020,-13,-1,2,-26,-23,8
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,25/02/2020,-13,-2,2,-24,-17,6
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,25/02/2020,-9,3,16,-24,-19,6
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,25/02/2020,-8,2,8,-17,-19,7
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,25/02/2020,-4,2,3,-17,-19,6
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,25/02/2020,-11,1,-8,-37,-20,7
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,25/02/2020,-3,3,34,-14,-20,6
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,25/02/2020,-11,6,15,-36,-18,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,26/02/2020,-16,-9,-15,-31,-21,8
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,26/02/2020,-14,-9,5,-27,-16,6
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,26/02/2020,-11,-6,-14,-28,-16,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,26/02/2020,-12,-11,8,-20,-18,7
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,26/02/2020,-10,-6,-8,-19,-17,6
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,26/02/2020,-14,-9,-5,-36,-18,7
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,26/02/2020,-8,-6,3,-15,-17,6
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,26/02/2020,-12,-4,11,-34,-16,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,27/02/2020,-12,-7,-9,-27,-19,8
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,27/02/2020,-10,-7,15,-26,-15,6
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,27/02/2020,-7,-4,7,-22,-14,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,27/02/2020,-10,4,2,-19,-17,8
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,27/02/2020,-3,-2,10,-15,-15,6
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,27/02/2020,-10,-5,7,-33,-18,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,27/02/2020,-3,-1,3,-16,-16,7
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,27/02/2020,-9,-2,19,-32,-16,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,28/02/2020,-10,-5,21,-23,-18,7
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,28/02/2020,-9,-7,19,-20,-14,6
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,28/02/2020,-8,-6,22,-19,-15,6
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,28/02/2020,-7,-3,34,-15,-16,7
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,28/02/2020,-5,-2,18,-12,-14,6
